zip_code,msa_name,per_low_income,at_risk
94114,"San Francisco-Oakland-Fremont, CA MSA",9.100000000000001,False
94115,"San Francisco-Oakland-Fremont, CA MSA",25.200000000000003,True
94116,"San Francisco-Oakland-Fremont, CA MSA",12.0,False
94117,"San Francisco-Oakland-Fremont, CA MSA",15.6,True
94118,"San Francisco-Oakland-Fremont, CA MSA",14.6,True
94121,"San Francisco-Oakland-Fremont, CA MSA",17.3,True
94122,"San Francisco-Oakland-Fremont, CA MSA",14.5,True
94123,"San Francisco-Oakland-Fremont, CA MSA",11.600000000000001,False
94124,"San Francisco-Oakland-Fremont, CA MSA",26.5,True
94127,"San Francisco-Oakland-Fremont, CA MSA",6.6,False
94129,"San Francisco-Oakland-Fremont, CA MSA",10.600000000000001,False
94130,"San Francisco-Oakland-Fremont, CA MSA",26.2,True
94131,"San Francisco-Oakland-Fremont, CA MSA",11.6,False
94132,"San Francisco-Oakland-Fremont, CA MSA",20.4,True
94133,"San Francisco-Oakland-Fremont, CA MSA",34.3,True
94134,"San Francisco-Oakland-Fremont, CA MSA",24.5,True
94158,"San Francisco-Oakland-Fremont, CA MSA",21.1,True
94303,"San Francisco-Oakland-Fremont, CA MSA",14.7,True
94401,"San Francisco-Oakland-Fremont, CA MSA",12.899999999999999,False
94402,"San Francisco-Oakland-Fremont, CA MSA",9.2,False
94403,"San Francisco-Oakland-Fremont, CA MSA",10.9,False
94404,"San Francisco-Oakland-Fremont, CA MSA",7.7,False
94501,"San Francisco-Oakland-Fremont, CA MSA",17.299999999999997,True
94502,"San Francisco-Oakland-Fremont, CA MSA",6.699999999999999,False
94505,"San Francisco-Oakland-Fremont, CA MSA",9.0,False
94506,"San Francisco-Oakland-Fremont, CA MSA",4.0,False
94507,"San Francisco-Oakland-Fremont, CA MSA",8.1,False
94509,"San Francisco-Oakland-Fremont, CA MSA",21.0,True
94511,"San Francisco-Oakland-Fremont, CA MSA",45.2,True
94513,"San Francisco-Oakland-Fremont, CA MSA",10.3,False
94514,"San Francisco-Oakland-Fremont, CA MSA",6.3,False
94516,"San Francisco-Oakland-Fremont, CA MSA",10.9,False
94517,"San Francisco-Oakland-Fremont, CA MSA",6.6,False
94518,"San Francisco-Oakland-Fremont, CA MSA",15.6,True
94519,"San Francisco-Oakland-Fremont, CA MSA",11.0,False
94520,"San Francisco-Oakland-Fremont, CA MSA",23.9,True
94521,"San Francisco-Oakland-Fremont, CA MSA",12.5,False
94523,"San Francisco-Oakland-Fremont, CA MSA",13.4,True
94525,"San Francisco-Oakland-Fremont, CA MSA",15.8,True
94526,"San Francisco-Oakland-Fremont, CA MSA",6.3,False
94528,"San Francisco-Oakland-Fremont, CA MSA",0.0,False
94530,"San Francisco-Oakland-Fremont, CA MSA",13.2,False
94531,"San Francisco-Oakland-Fremont, CA MSA",8.2,False
94536,"San Francisco-Oakland-Fremont, CA MSA",11.2,False
94538,"San Francisco-Oakland-Fremont, CA MSA",10.9,False
94539,"San Francisco-Oakland-Fremont, CA MSA",6.6,False
94541,"San Francisco-Oakland-Fremont, CA MSA",20.299999999999997,True
94542,"San Francisco-Oakland-Fremont, CA MSA",17.0,True
94544,"San Francisco-Oakland-Fremont, CA MSA",17.3,True
94545,"San Francisco-Oakland-Fremont, CA MSA",15.6,True
94546,"San Francisco-Oakland-Fremont, CA MSA",14.6,True
94547,"San Francisco-Oakland-Fremont, CA MSA",11.7,False
94548,"San Francisco-Oakland-Fremont, CA MSA",11.0,False
94549,"San Francisco-Oakland-Fremont, CA MSA",8.2,False
94550,"San Francisco-Oakland-Fremont, CA MSA",10.399999999999999,False
94551,"San Francisco-Oakland-Fremont, CA MSA",11.7,False
94552,"San Francisco-Oakland-Fremont, CA MSA",2.6,False
94553,"San Francisco-Oakland-Fremont, CA MSA",15.8,True
94555,"San Francisco-Oakland-Fremont, CA MSA",10.0,False
94556,"San Francisco-Oakland-Fremont, CA MSA",9.5,False
94560,"San Francisco-Oakland-Fremont, CA MSA",11.3,False
94561,"San Francisco-Oakland-Fremont, CA MSA",16.0,True
94563,"San Francisco-Oakland-Fremont, CA MSA",6.9,False
94564,"San Francisco-Oakland-Fremont, CA MSA",11.0,False
94565,"San Francisco-Oakland-Fremont, CA MSA",20.7,True
94566,"San Francisco-Oakland-Fremont, CA MSA",9.1,False
94568,"San Francisco-Oakland-Fremont, CA MSA",6.5,False
94569,"San Francisco-Oakland-Fremont, CA MSA",23.0,True
