zip_code,msa_name,per_college_educated,at_risk
72734,"Fayetteville-Springdale-Rogers, AR-MO MSA",10.0,True
72736,"Fayetteville-Springdale-Rogers, AR-MO MSA",42.0,False
72738,"Fayetteville-Springdale-Rogers, AR-MO MSA",48.1,False
72740,"Fayetteville-Springdale-Rogers, AR-MO MSA",46.5,False
72742,"Fayetteville-Springdale-Rogers, AR-MO MSA",0.0,True
72744,"Fayetteville-Springdale-Rogers, AR-MO MSA",34.5,False
72745,"Fayetteville-Springdale-Rogers, AR-MO MSA",28.6,False
72747,"Fayetteville-Springdale-Rogers, AR-MO MSA",0.0,True
72749,"Fayetteville-Springdale-Rogers, AR-MO MSA",0.0,True
72751,"Fayetteville-Springdale-Rogers, AR-MO MSA",19.2,True
72753,"Fayetteville-Springdale-Rogers, AR-MO MSA",39.8,False
72756,"Fayetteville-Springdale-Rogers, AR-MO MSA",25.8,True
72758,"Fayetteville-Springdale-Rogers, AR-MO MSA",41.4,False
72760,"Fayetteville-Springdale-Rogers, AR-MO MSA",65.9,False
72761,"Fayetteville-Springdale-Rogers, AR-MO MSA",46.3,False
72762,"Fayetteville-Springdale-Rogers, AR-MO MSA",39.7,False
72764,"Fayetteville-Springdale-Rogers, AR-MO MSA",20.3,True
72768,"Fayetteville-Springdale-Rogers, AR-MO MSA",7.8,True
72769,"Fayetteville-Springdale-Rogers, AR-MO MSA",81.2,False
72773,"Fayetteville-Springdale-Rogers, AR-MO MSA",0.0,True
72774,"Fayetteville-Springdale-Rogers, AR-MO MSA",30.9,False
72776,"Fayetteville-Springdale-Rogers, AR-MO MSA",100.0,False
72959,"Fayetteville-Springdale-Rogers, AR-MO MSA",24.8,True
47802,"Terre Haute, IN MSA",33.4,True
47803,"Terre Haute, IN MSA",48.7,False
47804,"Terre Haute, IN MSA",40.8,False
47805,"Terre Haute, IN MSA",39.0,False
47807,"Terre Haute, IN MSA",54.4,False
47809,"Terre Haute, IN MSA",65.7,False
47833,"Terre Haute, IN MSA",34.2,True
47834,"Terre Haute, IN MSA",33.4,True
47837,"Terre Haute, IN MSA",0.0,True
47838,"Terre Haute, IN MSA",20.3,True
47840,"Terre Haute, IN MSA",44.5,False
47841,"Terre Haute, IN MSA",32.5,True
47842,"Terre Haute, IN MSA",29.7,True
47846,"Terre Haute, IN MSA",52.6,False
47847,"Terre Haute, IN MSA",94.4,False
47848,"Terre Haute, IN MSA",36.7,False
47849,"Terre Haute, IN MSA",100.0,False
47850,"Terre Haute, IN MSA",47.7,False
47853,"Terre Haute, IN MSA",0.0,True
47854,"Terre Haute, IN MSA",69.6,False
47855,"Terre Haute, IN MSA",42.5,False
47857,"Terre Haute, IN MSA",27.3,True
47858,"Terre Haute, IN MSA",12.2,True
47861,"Terre Haute, IN MSA",4.2,True
47863,"Terre Haute, IN MSA",67.6,False
47866,"Terre Haute, IN MSA",68.1,False
47868,"Terre Haute, IN MSA",25.6,True
47871,"Terre Haute, IN MSA",0.0,True
47876,"Terre Haute, IN MSA",71.8,False
47879,"Terre Haute, IN MSA",45.8,False
47881,"Terre Haute, IN MSA",0.0,True
47882,"Terre Haute, IN MSA",27.1,True
47884,"Terre Haute, IN MSA",62.5,False
47885,"Terre Haute, IN MSA",36.4,True
47928,"Terre Haute, IN MSA",25.8,True
47966,"Terre Haute, IN MSA",0.0,True
47974,"Terre Haute, IN MSA",54.5,False
75701,"Tyler, TX MSA",53.6,False
75702,"Tyler, TX MSA",27.7,True
75703,"Tyler, TX MSA",47.3,False
75704,"Tyler, TX MSA",43.5,False
75705,"Tyler, TX MSA",49.7,False
75706,"Tyler, TX MSA",17.2,True
75707,"Tyler, TX MSA",38.1,True
75708,"Tyler, TX MSA",17.9,True
75709,"Tyler, TX MSA",43.4,False
75750,"Tyler, TX MSA",37.5,True
75757,"Tyler, TX MSA",47.5,False
75762,"Tyler, TX MSA",53.3,False
75771,"Tyler, TX MSA",57.0,False
75789,"Tyler, TX MSA",38.5,True
75791,"Tyler, TX MSA",31.3,True
75792,"Tyler, TX MSA",33.6,True
59401,"Great Falls, MT MSA",45.0,False
59404,"Great Falls, MT MSA",29.3,True
59405,"Great Falls, MT MSA",51.0,False
59412,"Great Falls, MT MSA",48.2,False
59414,"Great Falls, MT MSA",4.5,True
59421,"Great Falls, MT MSA",38.8,True
59443,"Great Falls, MT MSA",38.4,True
59465,"Great Falls, MT MSA",100.0,False
59472,"Great Falls, MT MSA",28.9,True
59477,"Great Falls, MT MSA",22.1,True
59480,"Great Falls, MT MSA",56.4,False
59483,"Great Falls, MT MSA",64.9,False
59485,"Great Falls, MT MSA",42.9,False
59487,"Great Falls, MT MSA",26.4,True
01001,"Springfield, MA MSA",43.9,False
01002,"Springfield, MA MSA",78.9,False
01003,"Springfield, MA MSA",91.5,False
01007,"Springfield, MA MSA",41.2,True
01008,"Springfield, MA MSA",31.2,True
01009,"Springfield, MA MSA",82.1,False
01010,"Springfield, MA MSA",14.0,True
01011,"Springfield, MA MSA",47.5,False
01012,"Springfield, MA MSA",18.2,True
01013,"Springfield, MA MSA",44.4,False
01020,"Springfield, MA MSA",37.3,True
01022,"Springfield, MA MSA",16.7,True
01026,"Springfield, MA MSA",52.1,False
01027,"Springfield, MA MSA",35.4,True
01028,"Springfield, MA MSA",42.3,False
01030,"Springfield, MA MSA",61.3,False
01032,"Springfield, MA MSA",0.0,True
01033,"Springfield, MA MSA",26.9,True
01034,"Springfield, MA MSA",49.3,False
01035,"Springfield, MA MSA",39.6,True
01036,"Springfield, MA MSA",51.1,False
01038,"Springfield, MA MSA",26.9,True
01039,"Springfield, MA MSA",19.4,True
01040,"Springfield, MA MSA",25.0,True
01050,"Springfield, MA MSA",41.8,True
01053,"Springfield, MA MSA",44.4,False
01054,"Springfield, MA MSA",56.9,False
01056,"Springfield, MA MSA",27.9,True
01057,"Springfield, MA MSA",49.1,False
01060,"Springfield, MA MSA",67.3,False
01062,"Springfield, MA MSA",40.8,True
01063,"Springfield, MA MSA",91.7,False
01069,"Springfield, MA MSA",35.4,True
01070,"Springfield, MA MSA",30.4,True
01071,"Springfield, MA MSA",39.1,True
01072,"Springfield, MA MSA",77.8,False
01073,"Springfield, MA MSA",55.1,False
01075,"Springfield, MA MSA",72.3,False
01077,"Springfield, MA MSA",25.8,True
01079,"Springfield, MA MSA",0.0,True
01080,"Springfield, MA MSA",26.1,True
01081,"Springfield, MA MSA",53.6,False
01082,"Springfield, MA MSA",28.9,True
01085,"Springfield, MA MSA",47.5,False
01086,"Springfield, MA MSA",96.4,False
01089,"Springfield, MA MSA",39.8,True
01093,"Springfield, MA MSA",76.2,False
01095,"Springfield, MA MSA",32.6,True
01096,"Springfield, MA MSA",66.3,False
01097,"Springfield, MA MSA",100.0,False
01098,"Springfield, MA MSA",39.0,True
01103,"Springfield, MA MSA",58.5,False
01104,"Springfield, MA MSA",27.5,True
01105,"Springfield, MA MSA",21.4,True
01106,"Springfield, MA MSA",60.9,False
01107,"Springfield, MA MSA",14.9,True
01108,"Springfield, MA MSA",25.1,True
01109,"Springfield, MA MSA",58.2,False
01118,"Springfield, MA MSA",45.1,False
01119,"Springfield, MA MSA",69.0,False
01128,"Springfield, MA MSA",38.6,True
01129,"Springfield, MA MSA",42.0,True
01151,"Springfield, MA MSA",18.5,True
01243,"Springfield, MA MSA",100.0,False
01301,"Springfield, MA MSA",32.9,True
01330,"Springfield, MA MSA",53.5,False
01337,"Springfield, MA MSA",45.3,False
01338,"Springfield, MA MSA",18.2,True
01339,"Springfield, MA MSA",22.0,True
01340,"Springfield, MA MSA",27.6,True
01341,"Springfield, MA MSA",46.5,False
01342,"Springfield, MA MSA",47.8,False
01344,"Springfield, MA MSA",16.5,True
01346,"Springfield, MA MSA",30.3,True
01347,"Springfield, MA MSA",100.0,False
01349,"Springfield, MA MSA",49.1,False
01350,"Springfield, MA MSA",35.3,True
01351,"Springfield, MA MSA",53.2,False
01354,"Springfield, MA MSA",46.3,False
01355,"Springfield, MA MSA",60.8,False
01360,"Springfield, MA MSA",47.8,False
01364,"Springfield, MA MSA",33.0,True
01367,"Springfield, MA MSA",57.1,False
01370,"Springfield, MA MSA",32.6,True
01373,"Springfield, MA MSA",60.2,False
01375,"Springfield, MA MSA",75.3,False
01376,"Springfield, MA MSA",31.2,True
01378,"Springfield, MA MSA",44.8,False
01379,"Springfield, MA MSA",5.9,True
01521,"Springfield, MA MSA",40.8,True
64401,"St. Joseph, MO-KS MSA",48.1,False
64421,"St. Joseph, MO-KS MSA",67.7,False
64427,"St. Joseph, MO-KS MSA",28.6,True
64430,"St. Joseph, MO-KS MSA",26.4,True
64436,"St. Joseph, MO-KS MSA",100.0,False
64440,"St. Joseph, MO-KS MSA",23.2,True
64443,"St. Joseph, MO-KS MSA",53.9,False
64448,"St. Joseph, MO-KS MSA",45.0,False
64449,"St. Joseph, MO-KS MSA",29.4,True
64459,"St. Joseph, MO-KS MSA",33.3,True
64469,"St. Joseph, MO-KS MSA",33.5,True
