zip_code,msa_name,income,gentrified
63069,"St. Louis, MO-IL MSA",74063.0,False
63070,"St. Louis, MO-IL MSA",65330.0,True
63071,"St. Louis, MO-IL MSA",44539.0,False
63072,"St. Louis, MO-IL MSA",88686.0,True
63074,"St. Louis, MO-IL MSA",51351.0,False
63077,"St. Louis, MO-IL MSA",56458.0,False
63079,"St. Louis, MO-IL MSA",130625.0,True
63080,"St. Louis, MO-IL MSA",60862.0,True
63084,"St. Louis, MO-IL MSA",72332.0,True
63088,"St. Louis, MO-IL MSA",62023.0,False
63089,"St. Louis, MO-IL MSA",70981.0,False
63090,"St. Louis, MO-IL MSA",83966.0,True
63101,"St. Louis, MO-IL MSA",92708.0,True
63102,"St. Louis, MO-IL MSA",60313.0,False
63103,"St. Louis, MO-IL MSA",37500.0,False
63104,"St. Louis, MO-IL MSA",70127.0,True
63105,"St. Louis, MO-IL MSA",119446.0,False
63106,"St. Louis, MO-IL MSA",21475.0,True
63107,"St. Louis, MO-IL MSA",40522.0,True
63108,"St. Louis, MO-IL MSA",56933.0,True
63109,"St. Louis, MO-IL MSA",71563.0,True
63110,"St. Louis, MO-IL MSA",73809.0,True
63111,"St. Louis, MO-IL MSA",43295.0,False
63112,"St. Louis, MO-IL MSA",43262.0,True
63113,"St. Louis, MO-IL MSA",38647.0,True
63114,"St. Louis, MO-IL MSA",52048.0,False
63115,"St. Louis, MO-IL MSA",31898.0,False
63116,"St. Louis, MO-IL MSA",60193.0,True
63117,"St. Louis, MO-IL MSA",86667.0,True
63118,"St. Louis, MO-IL MSA",57268.0,True
63119,"St. Louis, MO-IL MSA",103287.0,True
63120,"St. Louis, MO-IL MSA",34097.0,False
63121,"St. Louis, MO-IL MSA",41285.0,False
63122,"St. Louis, MO-IL MSA",132783.0,True
63123,"St. Louis, MO-IL MSA",74187.0,True
63124,"St. Louis, MO-IL MSA",188750.0,True
63125,"St. Louis, MO-IL MSA",59683.0,False
63126,"St. Louis, MO-IL MSA",99795.0,True
63127,"St. Louis, MO-IL MSA",124583.0,True
63128,"St. Louis, MO-IL MSA",87266.0,False
63129,"St. Louis, MO-IL MSA",91920.0,False
63130,"St. Louis, MO-IL MSA",81103.0,True
63131,"St. Louis, MO-IL MSA",209306.0,True
63132,"St. Louis, MO-IL MSA",84034.0,True
63133,"St. Louis, MO-IL MSA",36927.0,False
63134,"St. Louis, MO-IL MSA",42222.0,False
63135,"St. Louis, MO-IL MSA",55179.0,False
63136,"St. Louis, MO-IL MSA",40388.0,False
63137,"St. Louis, MO-IL MSA",45597.0,False
63138,"St. Louis, MO-IL MSA",51714.0,True
63139,"St. Louis, MO-IL MSA",74749.0,True
63140,"St. Louis, MO-IL MSA",43438.0,True
